img_id,fold
dpath_12-0059,0
crag_14-0019,0
dpath_1-0011,0
dpath_27-0010,0
dpath_66-0019,0
glas_1-0011,0
crag_47-0010,0
glas_13-0003,0
dpath_42-0005,0
dpath_41-0024,0
crag_17-0012,0
dpath_5-0009,0
dpath_59-0015,0
crag_60-0008,0
dpath_5-0018,0
dpath_27-0000,0
crag_34-0019,0
glas_25-0004,0
crag_31-0016,0
crag_35-0009,0
glas_7-0010,0
dpath_19-0004,0
crag_23-0014,0
dpath_30-0023,0
crag_34-0008,0
dpath_12-0025,0
crag_47-0005,0
dpath_47-0024,0
dpath_59-0010,0
dpath_50-0005,0
dpath_22-0003,0
crag_47-0014,0
dpath_15-0006,0
dpath_58-0015,0
crag_44-0030,0
dpath_61-0012,0
glas_1-0011,0
crag_16-0034,0
crag_14-0028,0
crag_44-0025,0
dpath_58-0019,0
dpath_22-0001,0
crag_38-0022,0
glas_42-0010,0
dpath_19-0029,0
dpath_59-0014,0
dpath_27-0048,0
dpath_12-0025,0
crag_46-0023,0
crag_11-0035,0
crag_46-0024,0
dpath_68-0007,0
dpath_47-0018,0
crag_14-0013,0
dpath_1-0001,0
glas_46-0000,0
glas_38-0003,0
crag_46-0023,0
glas_43-0009,0
crag_46-0007,0
crag_56-0022,0
dpath_50-0015,0
dpath_1-0003,0
dpath_11-0016,0
crag_46-0006,0
crag_22-0019,0
dpath_47-0015,0
crag_15-0012,0
dpath_12-0065,0
crag_51-0021,0
glas_7-0011,0
dpath_12-0046,0
glas_27-0004,0
crag_6-0005,0
crag_15-0032,0
crag_34-0008,0
crag_23-0012,0
crag_52-0011,0
dpath_69-0023,0
dpath_50-0010,0
dpath_22-0012,0
dpath_51-0003,0
dpath_33-0003,0
crag_48-0021,0
dpath_3-0022,0
dpath_47-0021,0
glas_1-0007,0
dpath_42-0003,0
dpath_6-0005,0
crag_46-0028,0
dpath_48-0013,0
crag_32-0029,0
dpath_22-0017,0
crag_42-0024,0
dpath_22-0018,0
crag_46-0035,0
crag_34-0032,0
crag_32-0024,0
crag_14-0016,0
crag_48-0010,0
dpath_50-0005,0
crag_11-0016,0
crag_19-0006,0
dpath_47-0010,0
glas_42-0007,0
dpath_68-0011,0
crag_11-0014,0
glas_41-0001,0
crag_44-0033,0
pannuke_10-0000,0
dpath_22-0025,0
crag_34-0020,0
dpath_50-0011,0
dpath_22-0001,0
dpath_65-0014,0
crag_20-0013,0
dpath_1-0009,0
dpath_35-0001,0
crag_14-0021,0
crag_15-0020,0
dpath_68-0009,0
crag_48-0012,0
dpath_62-0023,0
crag_46-0018,0
dpath_59-0000,0
crag_22-0029,0
crag_62-0001,0
consep_8-0001,0
crag_32-0032,0
crag_56-0019,0
crag_34-0008,0
dpath_62-0018,0
crag_32-0003,0
dpath_50-0014,0
crag_56-0031,0
dpath_62-0010,0
dpath_50-0001,0
crag_32-0014,0
glas_52-0005,0
crag_60-0017,0
crag_16-0020,0
crag_14-0031,0
crag_14-0012,0
crag_14-0007,0
crag_15-0020,0
crag_60-0029,0
crag_35-0008,0
glas_21-0005,0
dpath_35-0023,0
crag_15-0019,0
crag_14-0025,0
crag_45-0001,0
crag_46-0027,0
