img_id,fold
pannuke_colon_fold2_1808,0
pannuke_bile-duct_fold2_1422,0
pannuke_breast_fold3_228,0
pannuke_uterus_fold3_986,0
pannuke_stomach_fold3_2446,0
pannuke_lung_fold3_939,0
pannuke_prostate_fold1_951,0
pannuke_colon_fold1_807,0
pannuke_colon_fold1_1518,0
pannuke_cervix_fold1_1349,0
pannuke_uterus_fold3_993,0
pannuke_colon_fold1_1487,0
pannuke_colon_fold2_726,0
pannuke_ovarian_fold1_976,0
pannuke_breast_fold2_595,0
pannuke_stomach_fold3_2420,0
pannuke_lung_fold2_901,0
pannuke_testis_fold2_2359,0
pannuke_lung_fold1_1028,0
pannuke_uterus_fold3_2631,0
pannuke_stomach_fold1_2481,0
pannuke_adrenal_gland_fold3_1123,0
pannuke_uterus_fold3_2601,0
pannuke_uterus_fold3_2566,0
pannuke_headneck_fold2_1941,0
pannuke_breast_fold2_339,0
pannuke_thyroid_fold3_2492,0
pannuke_lung_fold1_1027,0
pannuke_skin_fold1_2462,0
pannuke_cervix_fold2_1561,0
pannuke_lung_fold2_928,0
pannuke_lung_fold2_773,0
pannuke_lung_fold3_930,0
pannuke_colon_fold2_705,0
pannuke_colon_fold3_1724,0
pannuke_esophagus_fold2_1089,0
pannuke_thyroid_fold1_1078,0
pannuke_lung_fold2_896,0
pannuke_colon_fold1_2058,0
pannuke_uterus_fold3_971,0
pannuke_headneck_fold2_1948,0
pannuke_bile-duct_fold1_1602,0
pannuke_lung_fold1_1026,0
pannuke_uterus_fold3_1001,0
pannuke_pancreatic_fold1_2359,0
pannuke_lung_fold2_906,0
pannuke_colon_fold2_1604,0
pannuke_colon_fold2_1799,0
pannuke_breast_fold1_248,0
pannuke_colon_fold3_1730,0
pannuke_colon_fold1_965,0
pannuke_colon_fold3_1375,0
pannuke_breast_fold2_118,0
pannuke_ovarian_fold3_2276,0
pannuke_breast_fold1_452,0
pannuke_lung_fold3_930,0
pannuke_headneck_fold3_2030,0
pannuke_colon_fold2_698,0
pannuke_uterus_fold3_988,0
pannuke_breast_fold3_505,0
pannuke_colon_fold3_1942,0
pannuke_lung_fold1_1026,0
pannuke_thyroid_fold1_1068,0
pannuke_breast_fold2_270,0
pannuke_breast_fold3_203,0
pannuke_colon_fold3_1381,0
pannuke_liver_fold1_2244,0
pannuke_ovarian_fold1_2285,0
pannuke_colon_fold1_817,0
pannuke_uterus_fold3_993,0
pannuke_headneck_fold2_1994,0
pannuke_liver_fold1_2239,0
pannuke_breast_fold1_572,0
pannuke_cervix_fold3_1241,0
pannuke_skin_fold2_2253,0
pannuke_cervix_fold3_1246,0
pannuke_liver_fold1_2212,0
pannuke_breast_fold2_217,0
pannuke_ovarian_fold3_2274,0
pannuke_uterus_fold3_994,0
pannuke_lung_fold2_899,0
pannuke_liver_fold2_2069,0
pannuke_breast_fold2_226,0
pannuke_bladder_fold3_1569,0
pannuke_bladder_fold3_1553,0
pannuke_esophagus_fold1_978,0
pannuke_colon_fold1_2000,0
pannuke_colon_fold1_1496,0
pannuke_pancreatic_fold2_894,0
pannuke_adrenal_gland_fold3_1199,0
pannuke_esophagus_fold3_1063,0
pannuke_breast_fold3_1650,0
pannuke_adrenal_gland_fold1_1565,0
pannuke_stomach_fold1_967,0
pannuke_adrenal_gland_fold2_1345,0
pannuke_uterus_fold3_2601,0
pannuke_colon_fold3_1820,0
pannuke_breast_fold1_160,0
pannuke_pancreatic_fold3_2329,0
pannuke_adrenal_gland_fold1_1304,0
pannuke_lung_fold3_943,0
pannuke_breast_fold1_7,0
pannuke_esophagus_fold3_1062,0
pannuke_esophagus_fold1_2092,0
pannuke_breast_fold3_416,0
pannuke_testis_fold2_1246,0
pannuke_lung_fold3_930,0
pannuke_colon_fold3_735,0
pannuke_lung_fold1_1030,0
pannuke_breast_fold3_0,0
pannuke_stomach_fold1_2482,0
pannuke_lung_fold3_936,0
pannuke_testis_fold2_2376,0
pannuke_thyroid_fold2_2408,0
pannuke_prostate_fold3_2361,0
pannuke_breast_fold3_150,0
pannuke_colon_fold2_1722,0
pannuke_breast_fold3_650,0
pannuke_colon_fold2_1808,0
pannuke_breast_fold1_188,0
pannuke_colon_fold1_861,0
pannuke_stomach_fold1_2484,0
pannuke_breast_fold3_1648,0
pannuke_breast_fold1_497,0
pannuke_esophagus_fold2_1838,0
pannuke_esophagus_fold3_905,0
pannuke_lung_fold3_941,0
pannuke_colon_fold2_1644,0
pannuke_lung_fold2_905,0
pannuke_esophagus_fold3_1965,0
pannuke_colon_fold3_2701,0
pannuke_stomach_fold1_2487,0
pannuke_colon_fold2_1325,0
pannuke_breast_fold3_281,0
pannuke_colon_fold1_1979,0
pannuke_uterus_fold3_1000,0
pannuke_colon_fold1_2644,0
pannuke_liver_fold3_2229,0
pannuke_stomach_fold3_2433,0
pannuke_stomach_fold1_2508,0
pannuke_stomach_fold1_2484,0
pannuke_breast_fold2_121,0
pannuke_liver_fold2_2074,0
